team,G,W,L,T,PTS,PPG,PA,PAPG,OEFF,DEFF,PM,PMPG,BLK,BPG,CMP,CPG,CMPR,TO,TPG
NewYorkEmpire19,15,15,0,0,334,22.27,282,18.8,0.48,-0.42,588,39.2,150,10.0,3547,236.47,94.7,230,15.33
SanDiegoGrowlers19,14,11,3,0,328,23.43,292,20.86,0.46,-0.42,581,41.5,157,11.21,3404,243.14,94.8,228,16.29
RaleighFlyers19,13,10,3,0,293,22.54,255,19.62,0.39,-0.36,514,39.54,124,9.54,3197,245.92,95.0,192,14.77
DallasRoughnecks19,15,10,5,0,320,21.33,300,20.0,0.32,-0.41,550,36.67,202,13.47,3640,242.67,93.7,290,19.33
PittsburghThunderbirds19,14,9,5,0,298,21.29,270,19.29,0.33,-0.41,487,34.79,141,10.07,3551,253.64,94.5,249,17.79
IndianapolisAlleyCats19,14,9,5,0,280,20.0,270,19.29,0.36,-0.5,450,32.14,138,9.86,3550,253.57,94.5,245,17.5
LosAngelesAviators19,13,9,4,0,306,23.54,267,20.54,0.39,-0.4,540,41.54,148,11.38,2847,219.0,94.4,207,15.92
TorontoRush19,14,8,6,0,293,20.93,271,19.36,0.33,-0.42,460,32.86,154,11.0,3240,231.43,93.4,277,19.79
ChicagoWildfire19,13,7,6,0,271,20.85,257,19.77,0.31,-0.4,446,34.31,132,10.15,3128,240.62,94.4,227,17.46
DCBreeze19,13,7,6,0,281,21.62,262,20.15,0.4,-0.48,472,36.31,139,10.69,3223,247.92,94.9,226,17.38
MadisonRadicals19,12,6,6,0,250,20.83,222,18.5,0.31,-0.31,432,36.0,152,12.67,2718,226.5,94.2,212,17.67
MinnesotaWindChill19,12,6,6,0,261,21.75,252,21.0,0.33,-0.47,409,34.08,140,11.67,2777,231.42,92.8,253,21.08
AtlantaHustle19,12,5,7,0,246,20.5,243,20.25,0.35,-0.49,405,33.75,97,8.08,2637,219.75,94.3,183,15.25
PhiladelphiaPhoenix19,12,4,8,0,222,18.5,249,20.75,0.19,-0.53,284,23.67,125,10.42,2625,218.75,91.6,286,23.83
MontrealRoyal19,12,4,8,0,238,19.83,253,21.08,0.25,-0.53,368,30.67,114,9.5,3036,253.0,94.1,222,18.5
TampaBayCannons19,12,4,8,0,232,19.33,263,21.92,0.18,-0.53,298,24.83,104,8.67,3049,254.08,93.3,261,21.75
SanJoseSpiders19,12,3,9,0,264,22.0,301,25.08,0.22,-0.55,393,32.75,98,8.17,2972,247.67,94.1,227,18.92
AustinSol19,12,3,9,0,229,19.08,254,21.17,0.16,-0.48,280,23.33,102,8.5,2768,230.67,92.5,276,23.0
OttawaOutlaws19,12,3,9,0,228,19.0,265,22.08,0.18,-0.54,289,24.08,129,10.75,2555,212.92,92.0,288,24.0
SeattleCascades19,12,2,10,0,263,21.92,306,25.5,0.24,-0.62,376,31.33,99,8.25,3232,269.33,93.8,246,20.5
DetroitMechanix19,12,0,12,0,174,14.5,277,23.08,-0.03,-0.69,130,10.83,93,7.75,2450,204.17,91.0,277,23.08
DallasRoughnecks18,17,15,2,0,410,24.12,357,21.0,0.44,-0.42,644,37.88,246,14.47,4780,281.18,92.9,415,24.41
MadisonRadicals18,17,15,2,0,419,24.65,303,17.82,0.5,-0.27,775,45.59,238,14.0,4380,257.65,94.8,301,17.71
TorontoRush18,15,13,2,0,367,24.47,286,19.07,0.36,-0.25,620,41.33,236,15.73,3437,229.13,92.2,347,23.13
IndianapolisAlleyCats18,16,12,4,0,385,24.06,325,20.31,0.48,-0.42,622,38.88,230,14.38,4049,253.06,92.8,376,23.5
LosAngelesAviators18,16,12,4,0,402,25.13,355,22.19,0.38,-0.36,673,42.06,220,13.75,3798,237.38,93.1,345,21.56
RaleighFlyers18,16,11,5,0,393,24.56,335,20.94,0.36,-0.3,690,43.13,194,12.13,4455,278.44,94.7,282,17.63
NewYorkEmpire18,17,10,7,0,389,22.88,370,21.76,0.3,-0.41,635,37.35,211,12.41,4296,252.71,93.3,353,20.76
MinnesotaWindChill18,15,8,7,0,383,25.53,343,22.87,0.38,-0.39,608,40.53,190,12.67,4571,304.73,94.0,342,22.8
DCBreeze18,15,8,6,1,343,22.87,324,21.6,0.29,-0.39,529,35.27,193,12.87,4145,276.33,93.4,349,23.27
AtlantaHustle18,14,7,7,0,316,22.57,318,22.71,0.31,-0.46,525,37.5,131,9.36,3344,238.86,94.7,229,16.36
SanDiegoGrowlers18,15,7,8,0,356,23.73,352,23.47,0.26,-0.41,556,37.07,183,12.2,4432,295.47,94.0,338,22.53
AustinSol18,15,6,9,0,320,21.33,347,23.13,0.18,-0.45,433,28.87,147,9.8,3405,227.0,91.9,351,23.4
MontrealRoyal18,14,6,8,0,315,22.5,346,24.71,0.24,-0.48,432,30.86,174,12.43,3266,233.29,91.3,371,26.5
SanJoseSpiders18,14,6,8,0,324,23.14,336,24.0,0.28,-0.48,449,32.07,170,12.14,3925,280.36,92.7,365,26.07
PhiladelphiaPhoenix18,14,5,8,1,293,20.93,318,22.71,0.25,-0.51,368,26.29,167,11.93,3735,266.79,92.5,374,26.71
SeattleCascades18,14,5,9,0,337,24.07,361,25.79,0.32,-0.56,476,34.0,176,12.57,3543,253.07,92.0,361,25.79
ChicagoWildfire18,14,5,9,0,319,22.79,309,22.07,0.29,-0.46,485,34.64,144,10.29,3776,269.71,94.2,296,21.14
SanFranciscoFlameThrowers18,14,5,9,0,322,23.0,355,25.36,0.33,-0.62,434,31.0,163,11.64,3652,260.86,92.3,372,26.57
PittsburghThunderbirds18,14,4,10,0,276,19.71,332,23.71,0.18,-0.55,306,21.86,155,11.07,3216,229.71,90.5,400,28.57
TampaBayCannons18,14,4,10,0,290,20.71,299,21.36,0.25,-0.46,463,33.07,144,10.29,4334,309.57,95.1,255,18.21
OttawaOutlaws18,14,3,11,0,321,22.93,357,25.5,0.18,-0.46,427,30.5,161,11.5,3049,217.79,91.0,372,26.57
NashvilleNightwatch18,14,3,11,0,302,21.57,366,26.14,0.23,-0.58,317,22.64,118,8.43,2591,185.07,91.8,273,19.5
DetroitMechanix18,14,0,14,0,235,16.79,423,30.21,-0.06,-0.79,128,9.14,147,10.5,3500,250.0,90.0,467,33.36
DallasRoughnecks17,17,13,4,0,440,25.88,360,21.18,0.42,-0.33,709,41.71,224,13.18,4683,275.47,93.1,395,23.24
RaleighFlyers17,15,13,2,0,389,25.93,325,21.67,0.41,-0.3,665,44.33,198,13.2,3906,260.4,93.8,309,20.6
MadisonRadicals17,16,13,3,0,356,22.25,304,19.0,0.3,-0.29,621,38.81,232,14.5,3961,247.56,94.2,320,20.0
TorontoRush17,17,13,4,0,445,26.18,386,22.71,0.32,-0.28,734,43.18,238,14.0,4114,242.0,92.7,391,23.0
SanFranciscoFlameThrowers17,17,13,4,0,474,27.88,405,23.82,0.45,-0.39,803,47.24,234,13.76,3773,221.94,92.0,378,22.24
MinnesotaWindChill17,15,11,4,0,348,23.2,297,19.8,0.27,-0.26,508,33.87,240,16.0,3686,245.73,91.4,425,28.33
LosAngelesAviators17,17,11,6,0,425,25.0,404,23.76,0.27,-0.42,634,37.29,184,10.82,4811,283.0,94.5,333,19.59
DCBreeze17,16,11,5,0,392,24.5,338,21.13,0.35,-0.33,630,39.38,210,13.13,4169,260.56,93.3,363,22.69
PittsburghThunderbirds17,16,10,6,0,374,23.38,362,22.63,0.25,-0.36,550,34.38,225,14.06,3806,237.88,91.6,419,26.19
TampaBayCannons17,15,10,5,0,366,24.4,346,23.07,0.4,-0.46,567,37.8,147,9.8,4250,283.33,94.4,310,20.67
MontrealRoyal17,15,9,6,0,328,21.87,329,21.93,0.25,-0.42,456,30.4,217,14.47,3644,242.93,91.4,415,27.67
SanJoseSpiders17,16,8,8,0,394,24.63,408,25.5,0.36,-0.47,585,36.56,167,10.44,4547,284.19,94.2,322,20.13
SanDiegoGrowlers17,14,7,7,0,318,22.71,330,23.57,0.22,-0.42,501,35.79,168,12.0,3793,270.93,93.7,302,21.57
SeattleCascades17,14,7,7,0,347,24.79,324,23.14,0.35,-0.41,507,36.21,135,9.64,3475,248.21,92.8,312,22.29
NewYorkEmpire17,14,6,8,0,292,20.86,290,20.71,0.2,-0.37,439,31.36,197,14.07,3093,220.93,91.1,340,24.29
IndianapolisAlleyCats17,14,5,9,0,329,23.5,323,23.07,0.25,-0.4,476,34.0,183,13.07,3102,221.57,91.0,361,25.79
AtlantaHustle17,14,5,9,0,344,24.57,349,24.93,0.37,-0.55,556,39.71,165,11.79,3562,254.43,93.2,297,21.21
AustinSol17,14,4,10,0,343,24.5,356,25.43,0.31,-0.49,485,34.64,159,11.36,3603,257.36,92.1,354,25.29
PhiladelphiaPhoenix17,14,4,10,0,301,21.5,343,24.5,0.17,-0.49,395,28.21,147,10.5,3094,221.0,91.1,351,25.07
ChicagoWildfire17,14,3,11,0,268,19.14,310,22.14,0.09,-0.44,300,21.43,159,11.36,4125,294.64,93.0,388,27.71
OttawaOutlaws17,14,2,12,0,298,21.29,364,26.0,0.16,-0.58,353,25.21,155,11.07,3129,223.5,90.4,397,28.36
DetroitMechanix17,14,1,13,0,242,17.29,333,23.79,0.0,-0.56,144,10.29,188,13.43,3426,244.71,89.0,524,37.43
VancouverRiptide17,14,1,13,0,269,19.21,355,25.36,0.09,-0.58,305,21.79,188,13.43,3092,220.86,90.2,421,30.07
NashvilleNightwatch17,14,0,14,0,273,19.5,414,29.57,0.07,-0.76,251,17.93,122,8.71,2810,200.71,89.0,412,29.43
DallasRoughnecks16,17,17,0,0,489,28.76,335,19.71,0.55,-0.2,827,48.65,277,16.29,3852,226.59,92.8,359,21.12
MadisonRadicals16,16,15,1,0,413,25.81,274,17.13,0.45,-0.12,721,45.06,276,17.25,3696,231.0,92.6,379,23.69
TorontoRush16,16,13,3,0,417,26.06,322,20.13,0.35,-0.19,689,43.06,250,15.63,3877,242.31,92.6,391,24.44
SeattleCascades16,18,12,6,0,454,25.22,429,23.83,0.28,-0.33,643,35.72,190,10.56,2486,138.11,89.4,346,19.22
DCBreeze16,16,11,5,0,396,24.75,329,20.56,0.28,-0.24,639,39.94,225,14.06,3883,242.69,92.6,374,23.38
PittsburghThunderbirds16,16,11,5,0,393,24.56,334,20.88,0.31,-0.25,632,39.5,249,15.56,4181,261.31,92.5,400,25.0
SanFranciscoFlameThrowers16,15,11,4,0,390,26.0,344,22.93,0.36,-0.33,634,42.27,213,14.2,4013,267.53,92.7,355,23.67
MinnesotaWindChill16,15,9,6,0,326,21.73,354,23.6,0.18,-0.44,468,31.2,259,17.27,4229,281.93,92.1,441,29.4
RaleighFlyers16,15,9,6,0,350,23.33,341,22.73,0.29,-0.38,548,36.53,214,14.27,3417,227.8,92.6,353,23.53
LosAngelesAviators16,15,9,6,0,357,23.8,344,22.93,0.22,-0.34,576,38.4,188,12.53,4357,290.47,94.0,324,21.6
IndianapolisAlleyCats16,14,8,6,0,360,25.71,316,22.57,0.28,-0.27,551,39.36,187,13.36,3387,241.93,91.9,354,25.29
AtlantaHustle16,16,8,8,0,379,23.69,386,24.13,0.27,-0.46,562,35.13,191,11.94,4140,258.75,92.6,383,23.94
AustinSol16,14,7,7,0,357,25.5,331,23.64,0.32,-0.36,520,37.14,214,15.29,3725,266.07,91.5,407,29.07
NewYorkEmpire16,15,7,8,0,329,21.93,301,20.07,0.22,-0.3,471,31.4,214,14.27,3797,253.13,91.1,401,26.73
OttawaOutlaws16,14,7,7,0,340,24.29,336,24.0,0.22,-0.35,474,33.86,201,14.36,3585,256.07,91.4,406,29.0
VancouverRiptide16,14,6,8,0,344,24.57,352,25.14,0.28,-0.45,554,39.57,189,13.5,3441,245.79,92.7,323,23.07
MontrealRoyal16,14,6,8,0,298,21.29,331,23.64,0.13,-0.41,377,26.93,193,13.79,3151,225.07,90.3,408,29.14
SanJoseSpiders16,14,5,9,0,334,23.86,361,25.79,0.23,-0.44,503,35.93,176,12.57,3436,245.43,91.9,341,24.36
TampaBayCannons16,14,5,9,0,332,23.71,352,25.14,0.3,-0.52,491,35.07,157,11.21,3481,248.64,92.9,330,23.57
CharlotteExpress16,14,4,10,0,273,19.5,332,23.71,0.11,-0.5,335,23.93,184,13.14,3107,221.93,90.7,392,28.0
ChicagoWildfire16,14,4,10,0,261,18.64,295,21.07,0.09,-0.41,255,18.21,178,12.71,3973,283.79,92.3,427,30.5
DetroitMechanix16,14,4,10,0,258,18.43,337,24.07,-0.0,-0.48,239,17.07,215,15.36,3495,249.64,89.6,489,34.93
NashvilleNightwatch16,14,3,11,0,298,21.29,388,27.71,0.17,-0.65,350,25.0,135,9.64,3556,254.0,91.7,381,27.21
SanDiegoGrowlers16,14,2,12,0,296,21.14,350,25.0,0.13,-0.47,394,28.14,154,11.0,3841,274.36,92.6,350,25.0
CincinnatiRevolution16,14,0,14,0,273,19.5,375,26.79,0.08,-0.64,219,15.64,177,12.64,3564,254.57,88.6,502,35.86
PhiladelphiaPhoenix16,14,0,14,0,222,15.86,390,27.86,-0.1,-0.69,115,8.21,153,10.93,3284,234.57,89.5,481,34.36
MadisonRadicals15,17,15,2,0,426,25.06,294,17.29,0.46,-0.18,764,44.94,270,15.88,4108,241.65,93.7,358,21.06
TorontoRush15,16,14,2,0,455,28.44,318,19.88,0.46,-0.17,812,50.75,264,16.5,4159,259.94,93.6,360,22.5
SanJoseSpiders15,17,13,4,0,408,24.0,373,21.94,0.36,-0.37,608,35.76,184,10.82,4309,253.47,92.4,392,23.06
PittsburghThunderbirds15,16,13,3,0,455,28.44,341,21.31,0.46,-0.23,798,49.88,225,14.06,4274,267.13,94.1,336,21.0
RaleighFlyers15,16,12,4,0,425,26.56,368,23.0,0.37,-0.32,689,43.06,229,14.31,3823,238.94,92.5,387,24.19
NewYorkEmpire15,16,12,4,0,352,22.0,285,17.81,0.23,-0.19,534,33.38,223,13.94,3793,237.06,91.3,393,24.56
TampaBayCannons15,15,10,5,0,368,24.53,339,22.6,0.31,-0.37,545,36.33,158,10.53,3679,245.27,92.6,348,23.2
AtlantaHustle15,14,10,4,0,353,25.21,308,22.0,0.36,-0.35,584,41.71,201,14.36,3610,257.86,92.8,322,23.0
MontrealRoyal15,15,9,6,0,338,22.53,341,22.73,0.18,-0.37,470,31.33,226,15.07,2848,189.87,89.1,427,28.47
SeattleCascades15,16,9,7,0,395,24.69,355,22.19,0.35,-0.38,625,39.06,200,12.5,3069,191.81,91.4,358,22.38
SanFranciscoFlameThrowers15,15,8,7,0,336,22.4,325,21.67,0.21,-0.34,464,30.93,174,11.6,4113,274.2,92.7,382,25.47
ChicagoWildfire15,15,8,6,1,326,21.73,267,17.8,0.26,-0.21,411,27.4,180,12.0,3807,253.8,93.5,331,22.07
SanDiegoGrowlers15,14,7,7,0,314,22.43,328,23.43,0.23,-0.41,481,34.36,154,11.0,3832,273.71,94.0,301,21.5
OttawaOutlaws15,14,7,7,0,326,23.29,313,22.36,0.26,-0.35,453,32.36,162,11.57,3541,252.93,92.4,360,25.71
IndianapolisAlleyCats15,14,7,7,0,340,24.29,306,21.86,0.33,-0.34,530,37.86,179,12.79,3774,269.57,93.1,329,23.5
DCBreeze15,14,7,7,0,302,21.57,316,22.57,0.13,-0.35,404,28.86,179,12.79,3182,227.29,90.9,377,26.93
MinnesotaWindChill15,14,6,7,1,292,20.86,303,21.64,0.08,-0.27,426,30.43,266,19.0,3743,267.36,91.8,422,30.14
LosAngelesAviators15,14,5,9,0,290,20.71,318,22.71,0.14,-0.43,372,26.57,142,10.14,3647,260.5,92.4,340,24.29
VancouverRiptide15,14,4,10,0,339,24.21,376,26.86,0.25,-0.54,487,34.79,152,10.86,3756,268.29,93.0,343,24.5
CincinnatiRevolution15,14,2,12,0,256,18.29,372,26.57,0.02,-0.65,221,15.79,162,11.57,3986,284.71,91.3,453,32.36
CharlotteExpress15,14,2,12,0,271,19.36,346,24.71,0.07,-0.49,342,24.43,166,11.86,3587,256.21,92.3,363,25.93
NashvilleNightwatch15,14,2,12,0,285,20.36,344,24.57,0.18,-0.59,312,22.29,152,10.86,3991,285.07,92.3,410,29.29
RochesterDragons15,14,1,13,0,255,18.21,371,26.5,-0.04,-0.56,201,14.36,142,10.14,3841,274.36,91.6,451,32.21
PhiladelphiaPhoenix15,14,1,13,0,257,18.36,346,24.71,-0.01,-0.47,251,17.93,150,10.71,2996,214.0,89.8,410,29.29
DetroitMechanix15,14,0,14,0,233,16.64,444,31.71,-0.17,-0.72,110,7.86,135,9.64,3743,267.36,90.1,490,35.0
SanJoseSpiders14,17,16,1,0,475,27.94,340,20.0,0.53,-0.22,797,46.88,228,13.41,3903,229.59,92.1,379,22.29
TorontoRush14,17,15,2,0,449,26.41,302,17.76,0.41,-0.07,782,46.0,275,16.18,4271,251.24,93.4,355,20.88
MadisonRadicals14,16,13,3,0,383,23.94,250,15.63,0.38,-0.07,716,44.75,298,18.63,4012,250.75,93.4,344,21.5
SanFranciscoFlameThrowers14,15,11,4,0,357,23.8,295,19.67,0.28,-0.22,479,31.93,202,13.47,3342,222.8,90.5,427,28.47
NewYorkEmpire14,16,11,5,0,357,22.31,281,17.56,0.28,-0.18,559,34.94,239,14.94,3902,243.88,91.7,394,24.63
DCBreeze14,15,10,5,0,347,23.13,344,22.93,0.2,-0.33,492,32.8,177,11.8,3743,249.53,92.3,372,24.8
IndianapolisAlleyCats14,15,9,6,0,328,21.87,324,21.6,0.24,-0.42,432,28.8,179,11.93,3517,234.47,92.5,364,24.27
ChicagoWildfire14,15,9,6,0,324,21.6,265,17.67,0.38,-0.29,473,31.53,193,12.87,3661,244.07,93.0,348,23.2
MinnesotaWindChill14,14,8,6,0,341,24.36,302,21.57,0.28,-0.32,631,45.07,243,17.36,4130,295.0,95.4,294,21.0
VancouverRiptide14,14,8,6,0,357,25.5,316,22.57,0.18,-0.19,542,38.71,212,15.14,2965,211.79,90.4,383,27.36
MontrealRoyal14,14,6,8,0,296,21.14,304,21.71,0.1,-0.31,415,29.64,160,11.43,3299,235.64,92.0,337,24.07
CincinnatiRevolution14,14,4,10,0,258,18.43,332,23.71,0.03,-0.53,295,21.07,154,11.0,2779,198.5,90.1,368,26.29
SeattleCascades14,14,3,11,0,277,19.79,296,21.14,0.07,-0.32,303,21.64,209,14.93,3646,260.43,90.4,460,32.86
PhiladelphiaPhoenix14,14,2,12,0,249,17.79,338,24.14,0.03,-0.54,224,16.0,152,10.86,4068,290.57,91.8,416,29.71
RochesterDragons14,14,1,13,0,225,16.07,359,25.64,-0.11,-0.61,134,9.57,147,10.5,3287,234.79,89.4,465,33.21
DetroitMechanix14,14,0,14,0,217,15.5,386,27.57,-0.13,-0.68,95,6.79,172,12.29,3102,221.57,88.6,498,35.57
TorontoRush13,18,18,0,0,497,27.61,317,17.61,0.5,0.13,886,49.22,322,17.89,3590,199.44,92.4,395,21.94
MadisonRadicals13,19,15,4,0,421,22.16,363,19.11,0.46,-0.22,682,35.89,268,14.11,5040,265.26,93.4,428,22.53
ChicagoWildfire13,17,14,3,0,392,23.06,301,17.71,0.49,-0.09,632,37.18,254,14.94,4420,260.0,93.5,369,21.71
NewYorkEmpire13,18,12,6,0,367,20.39,320,17.78,0.29,-0.12,490,27.22,308,17.11,3914,217.44,89.1,568,31.56
PhiladelphiaPhoenix13,17,9,8,0,348,20.47,349,20.53,0.15,-0.19,272,16.0,205,12.06,2952,173.65,88.8,455,26.76
IndianapolisAlleyCats13,17,9,8,0,396,23.29,370,21.76,0.31,-0.21,710,41.76,215,12.65,3047,179.24,93.0,294,17.29
RochesterDragons13,16,6,10,0,306,19.13,355,22.19,-0.01,-0.34,297,18.56,191,11.94,2509,156.81,88.7,380,23.75
DetroitMechanix13,16,4,12,0,292,18.25,373,23.31,-0.05,-0.22,178,11.13,75,4.69,1435,89.69,92.9,145,9.06
MinnesotaWindChill13,16,4,12,0,335,20.94,355,22.19,0.12,-0.27,565,35.31,280,17.5,3372,210.75,93.3,341,21.31
CincinnatiRevolution13,16,4,12,0,292,18.25,368,23.0,0.18,-0.29,307,19.19,212,13.25,4816,301.0,92.0,480,30.0
DCBreeze13,16,4,12,0,293,18.31,378,23.63,-0.09,-0.64,288,18.0,208,13.0,3453,215.81,91.8,435,27.19
NewJerseyHammerheads13,16,2,14,0,276,17.25,366,22.88,-0.11,-0.35,223,13.94,244,15.25,3868,241.75,90.0,568,35.5
PhiladelphiaSpinners12,17,15,2,0,459,27.0,324,19.06,0.64,-0.36,594,34.94,248,14.59,2696,158.59,88.6,444,26.12
IndianapolisAlleyCats12,17,9,8,0,351,20.65,341,20.06,0.46,-0.3,394,23.18,174,10.24,2258,132.82,88.0,367,21.59
CincinnatiRevolution12,17,9,8,0,311,18.29,299,17.59,0.44,-0.37,261,15.35,167,9.82,2606,153.29,88.3,446,26.24
ConnecticutConstitution12,16,8,8,0,265,16.56,280,17.5,0.5,-0.35,326,20.38,163,10.19,2256,141.0,88.2,365,22.81
ColumbusCranes12,16,7,9,0,317,19.81,330,20.63,0.47,-0.35,468,29.25,141,8.81,1685,105.31,88.8,262,16.38
DetroitMechanix12,16,7,9,0,337,21.06,351,21.94,0.41,-0.32,363,22.69,177,11.06,2758,172.38,88.6,455,28.44
RhodeIslandRampage12,15,6,9,0,307,20.47,353,23.53,0.57,-0.37,224,14.93,134,8.93,2678,178.53,89.0,410,27.33
RochesterDragons12,16,4,12,0,282,17.63,351,21.94,0.42,-0.36,271,16.94,188,11.75,2504,156.5,88.5,395,24.69
